align_id	align_description	matched_label	group
PRGD_OTU106_otuREP_f1894785d1d86029fe2ad2a9f50efe26	PRGD_OTU106_otuREP_f1894785d1d86029fe2ad2a9f50efe26	PRGD_OTU106_otuREP_f1894785d1d86029fe2ad2a9f50efe26	cellular
PRGD_OTU201_988a6e617bb157db735d583625577b94	PRGD_OTU201_988a6e617bb157db735d583625577b94	PRGD_OTU201_988a6e617bb157db735d583625577b94	cellular
PRGD_OTU335_otuREP_1b2cdd9beface43ba886f977d106fab6	PRGD_OTU335_otuREP_1b2cdd9beface43ba886f977d106fab6	PRGD_OTU335_otuREP_1b2cdd9beface43ba886f977d106fab6	cellular
PRGD_OTU164_062b9ebb2482b70642d8bbe4f31482ec	PRGD_OTU164_062b9ebb2482b70642d8bbe4f31482ec	PRGD_OTU164_062b9ebb2482b70642d8bbe4f31482ec	cellular
PRGD_OTU191_otuREP_305ecc8270f5f07fe002aadfa8146d29	PRGD_OTU191_otuREP_305ecc8270f5f07fe002aadfa8146d29	PRGD_OTU191_otuREP_305ecc8270f5f07fe002aadfa8146d29	cellular
PRGD_OTU069_3b47fcd05b11d70e33b43a1fe3b8c1aa	PRGD_OTU069_3b47fcd05b11d70e33b43a1fe3b8c1aa	PRGD_OTU069_3b47fcd05b11d70e33b43a1fe3b8c1aa	cellular
PRGD_OTU279_otuREP_0d612a366edbc5b64b57798c342b0425	PRGD_OTU279_otuREP_0d612a366edbc5b64b57798c342b0425	PRGD_OTU279_otuREP_0d612a366edbc5b64b57798c342b0425	cellular
MALINA_OTU28_303_M_env_samples_JX863191	MALINA_OTU28_303_M_env_samples_JX863191	MALINA_OTU28_303_M_env_samples_JX863191	cellular
PRGD_OTU231_6e00f35a8487a789f2cab2c4ad16b7eb	PRGD_OTU231_6e00f35a8487a789f2cab2c4ad16b7eb	PRGD_OTU231_6e00f35a8487a789f2cab2c4ad16b7eb	cellular
PRGD_OTU164_f685036e6c59a39345800ee13e3a3ad4	PRGD_OTU164_f685036e6c59a39345800ee13e3a3ad4	PRGD_OTU164_f685036e6c59a39345800ee13e3a3ad4	cellular
SRX803008.24.fa.dc..contig_54159_12...MM01	SRX803008.24.fa.dc..contig_54159_12...MM01	SRX803008.24.fa.dc..contig_54159_12...MM01	viral
ERX552296.8.fa.dc..contig_17648_5...MM01	ERX552296.8.fa.dc..contig_17648_5...MM01	ERX552296.8.fa.dc..contig_17648_5...MM01	viral
330812975_793621_794319_Candidatus_Pelagibacter_sp_IMCC9063_genome	330812975_793621_794319_Candidatus_Pelagibacter_sp_IMCC9063_genome	330812975_793621_794319_Candidatus_Pelagibacter_sp_IMCC9063_genome	cellular
SCGC_AAA280B11_Alphaproteobacteria_HQ663835	SCGC_AAA280B11_Alphaproteobacteria_HQ663835	SCGC_AAA280B11_Alphaproteobacteria_HQ663835	cellular
EB0_39H12_genomic_EF089399	EB0_39H12_genomic_EF089399	EB0_39H12_genomic_EF089399	cellular
JCVI_ORF_1105151526192_GS000c_Open_Ocean_5m	JCVI_ORF_1105151526192_GS000c_Open_Ocean_5m	JCVI_ORF_1105151526192_GS000c_Open_Ocean_5m	cellular
JCVI_ORF_1105075889976_GS002_Coastal_1m	JCVI_ORF_1105075889976_GS002_Coastal_1m	JCVI_ORF_1105075889976_GS002_Coastal_1m	cellular
